DESIGN_NAME,BASE_OPERATOR,DESIGN_TYPE,PRUNING_INIT,Config,Constraint,CPD,Delay_logic,Delay_signal,LUTs,Carries,Signal_power,Logic_power,Total_power,Signal_power_top,Logic_power_top,Total_power_top,Conf,average_error,average_absolute_error,average_relative_error,average_absolute_relative_error,acutal_max_error,actual_min_error,error_prob_approx
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_3606,SIGNED_ADD_8x8_8,OvErr_BASE,v2,3606,7,0.954,0.38,0.574,1,1,0,29.922,29.922,181.067,46.957,228.024, High,50.75,94.72961426,0.9933708270054393,2.3883935329396753,306,-204,99.68719482421875
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_3793,SIGNED_ADD_8x8_8,OvErr_BASE,v2,3793,7,0.944,0.365,0.579,1,2,0,29.625,29.625,182.69,46.842,229.532, High,96,117.8509521484375,1.0117603107909139,3.5469263063271095,359,-151,99.81689453
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1550,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1550,1.3129999999999995,1.259,0.669,0.59,4,2,0,92.066,92.066,239.081,109.104,348.185, High,23.5,83.31054688,-0.838003538,1.7760490738458388,322,-276,98.2421875
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_4507,SIGNED_ADD_8x8_8,OvErr_BASE,v2,4507,7,1.111,0.53,0.581,2,2,0,51.406,51.406,192.825,67.809,260.634, High,-66,104.6782227,1.3535036633483541,4.118061884701948,165,-281,99.36523438
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_5288,SIGNED_ADD_8x8_8,OvErr_BASE,v2,5288,7,1.172,0.599,0.573,2,2,0,49.984,49.984,188.927,65.198,254.125, High,-83,109.0341797,1.3195048589954188,3.738843233902307,156,-322,99.89013672
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_5652,SIGNED_ADD_8x8_8,OvErr_BASE,v2,5652,7,1.381,0.614,0.767,3,2,0,66.972,66.972,181.521,81.488,263.009, High,-77.75,106.699707,1.141169390297981,3.3148631970540468,176,-332,99.31640625
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_6065,SIGNED_ADD_8x8_8,OvErr_BASE,v2,6065,7,0.944,0.365,0.579,1,2,0,29.625,29.625,182.688,46.842,229.53, High,-13,88.62927246,1.0322054850474998,1.748480616806835,250,-260,99.94659423828125
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_4756,SIGNED_ADD_8x8_8,OvErr_BASE,v2,4756,7,1.151,0.554,0.597,2,2,0,51.526,51.526,198.221,67.064,265.285, High,-81,111.80462646484375,1.4011796837370896,3.8266657091690894,187,-355,99.6887207
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_4005,SIGNED_ADD_8x8_8,OvErr_BASE,v2,4005,1.0830000000000002,0.982,0.466,0.516,2,1,0,60.33,60.33,204.519,78.984,283.503, High,65.75,100.7675781,0.9964032401865475,2.9039149596937537,320,-188,98.98071289
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_5029,SIGNED_ADD_8x8_8,OvErr_BASE,v2,5029,1.2519999999999998,1.153,0.553,0.6,3,2,0,76.703,76.703,225.657,94.022,319.67900000000003, High,-37,94.6282959,1.6929459017645112,2.3309761579476014,213,-289,99.27978516
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_3962,SIGNED_ADD_8x8_8,OvErr_BASE,v2,3962,7,1.381,0.62,0.761,2,2,0,44.721,44.721,144.292,57.738,202.03, High,87.5,111.8195801,1.1103034405478682,3.6597950812679083,342,-168,99.84893798828125
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_3326,SIGNED_ADD_8x8_8,OvErr_BASE,v2,3326,7,1.146,0.442,0.704,2,1,0,48.833,48.833,199.208,64.806,264.014, High,24,87.55078125,1.061256415,1.5086549997798944,276,-226,99.34082031
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_940,SIGNED_ADD_8x8_8,OvErr_BASE,v2,940,7,1.14,0.559,0.581,2,2,0,46.642,46.642,185.277,62.472,247.749, High,-20,79.4465332,0.13211589265137527,1.367547361308583,307,-331,99.19433594
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1896,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1896,1.415,1.251,0.655,0.596,3,2,0,69.243,69.243,202.633,85.147,287.78000000000003, High,21,99.97253418,0.10183050258307286,2.815951112007387,338,-296,99.67041016
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_2642,SIGNED_ADD_8x8_8,OvErr_BASE,v2,2642,7,0.948,0.372,0.576,1,2,0,29.536,29.536,175.971,46.618,222.589, High,69,96.04821777,1.0210140890395794,1.7657608522383557,340,-170,99.47662353515625
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_4101,SIGNED_ADD_8x8_8,OvErr_BASE,v2,4101,7,0.954,0.38,0.574,1,1,0,29.922,29.922,181.066,46.957,228.023, High,86.75,111.4097900390625,0.9866182923885853,3.6688851319034455,342,-168,99.74212646484375
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_4802,SIGNED_ADD_8x8_8,OvErr_BASE,v2,4802,7,1.152,0.553,0.599,2,2,0,50.633,50.633,179.825,66.087,245.912, High,-65,103.9805908203125,1.4589939787196218,3.4368421170229912,188,-322,99.84893798828125
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_2292,SIGNED_ADD_8x8_8,OvErr_BASE,v2,2292,7,1.362,0.723,0.639,4,2,0,86.773,86.773,229.177,102.564,331.741, High,59.75,96.35449219,2.2243138421490203,2.5619785849465018,266,-148,98.79150391
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_3992,SIGNED_ADD_8x8_8,OvErr_BASE,v2,3992,0.883,0.715,0.371,0.344,1,1,0,37.454,37.454,215.54,60.063,275.603, High,75,105.1109619140625,1.0055982035613746,3.185216922202481,332,-178,99.61700439453125
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_6511,SIGNED_ADD_8x8_8,OvErr_BASE,v2,6511,0.8849999999999998,0.769,0.432,0.337,1,1,0,35.997,35.997,204.837,57.121,261.958, High,-13,85.96661376953125,1.0167323288182566,1.2096544542054177,243,-267,99.26147461
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1742,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1742,7,1.131,0.546,0.585,2,2,0,47.766,47.766,173.541,63.716,237.257, High,13,94.20361328,0.28165880067418625,2.636320591189528,336,-302,99.35455322265625
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_2620,SIGNED_ADD_8x8_8,OvErr_BASE,v2,2620,7,1.389,0.554,0.835,3,2,0,65.724,65.724,217.126,80.204,297.33, High,53.5,97.29492188,1.5505649530397003,2.3944600070228983,321,-217,98.2421875
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_34,SIGNED_ADD_8x8_8,OvErr_BASE,v2,34,7,1.297,0.559,0.738,5,2,0,113.072,113.072,254.316,131.227,385.543, High,-3,66.2734375,0.3429848062941746,0.5161677668157478,261,-265,92.96875
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_2412,SIGNED_ADD_8x8_8,OvErr_BASE,v2,2412,1.4560000000000004,1.295,0.727,0.568,4,2,0,94.053,94.053,226.929,110.982,337.911, High,74.75,103.8515625,1.779930831763399,3.0304625331068813,304,-156,98.73046875
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_3170,SIGNED_ADD_8x8_8,OvErr_BASE,v2,3170,7,1.381,0.62,0.761,3,2,0,65.682,65.682,178.68,80.063,258.743, High,15,85.953125,1.2656889233270099,1.2853460264867398,258,-228,98.16894531
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_957,SIGNED_ADD_8x8_8,OvErr_BASE,v2,957,7,1.248,0.663,0.585,3,2,0,69.516,69.516,203.079,85.323,288.402, High,-21.25,84.41259766,-0.030633623,1.845660823393943,308,-354,98.59008789
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_6053,SIGNED_ADD_8x8_8,OvErr_BASE,v2,6053,7,1.197,0.6,0.597,2,2,0,49.779,49.779,181.572,64.767,246.339, High,-18,87.89758301,1.251744185886083,1.578087123338261,236,-274,99.55596923828125
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_5533,SIGNED_ADD_8x8_8,OvErr_BASE,v2,5533,0.883,0.715,0.371,0.344,1,1,0,37.454,37.454,215.539,60.063,275.602, High,-100,119.41464233398438,1.0384230246155257,4.156871211299992,157,-353,99.9420166
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_3473,SIGNED_ADD_8x8_8,OvErr_BASE,v2,3473,0.9130000000000004,0.876,0.38,0.496,1,2,0,31.962,31.962,182.911,50.448,233.359, High,55,96.80480957,1.0145606908858296,2.372019462101295,314,-196,99.90081787109375
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_5016,SIGNED_ADD_8x8_8,OvErr_BASE,v2,5016,1.2270000000000003,1.213,0.617,0.596,2,2,0,49.768,49.768,181.342,64.522,245.86400000000003, High,-47.25,98.70178223,1.1572500986125935,2.694423118673832,232,-334,99.69940185546875
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1937,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1937,7,1.24,0.661,0.579,2,2,0,47.372,47.372,160.88,62.011,222.891, High,30.5,104.234375,0.44985487277055286,3.0639841719407084,350,-288,99.81231689453125
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_2575,SIGNED_ADD_8x8_8,OvErr_BASE,v2,2575,7,1.202,0.623,0.579,2,2,0,51.094,51.094,170.523,66.028,236.551, High,45.5,94.10482788085938,1.3166783047370045,1.9918090942839248,321,-237,98.89221191
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1915,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1915,7,0.856,0.371,0.485,1,2,0,29.676,29.676,180.594,49.306,229.9, High,22,108.12985229492188,0.9651087578207345,3.5494481394823194,213,-297,99.80773926
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1037,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1037,7,1.422,0.661,0.761,3,2,0,61.816,61.816,183.849,75.749,259.598, High,-44.5,99.0760498,-0.22961783,2.3848966804881564,274,-364,98.94256591796875
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1411,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1411,7,1.165,0.592,0.573,2,2,0,48.654,48.654,180.79,64.27,245.06, High,-11,97.69955444335938,0.4017268031818708,2.630352904642689,309,-329,99.47814941
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_5987,SIGNED_ADD_8x8_8,OvErr_BASE,v2,5987,7,1.248,0.669,0.579,2,2,0,49.461,49.461,162.44,63.892,226.332, High,-31.5,90.1640625,1.203847210301069,1.8615119580321295,230,-296,99.77569580078125
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_670,SIGNED_ADD_8x8_8,OvErr_BASE,v2,670,1.1159999999999997,1.1,0.591,0.509,3,2,0,77.613,77.613,216.099,95.52,311.619, High,26,89.33813477,0.2528151427666789,1.921675664165822,347,-291,99.48730469
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_763,SIGNED_ADD_8x8_8,OvErr_BASE,v2,763,7,1.26,0.559,0.701,4,2,0,92.095,92.095,221.601,109.159,330.76, High,-34,84.86450195,-0.521249808,1.5351184606730135,261,-329,97.14355469
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_4689,SIGNED_ADD_8x8_8,OvErr_BASE,v2,4689,7,1.311,0.617,0.694,4,2,0,92.281,92.281,232.919,108.857,341.776, High,-73.25,103.5605469,1.972203425480434,3.255024162330758,148,-296,98.92578125
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1893,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1893,1.415,1.251,0.655,0.596,3,2,0,69.243,69.243,202.633,85.147,287.78000000000003, High,19,99.68481445,0.1022056433951203,2.805507381820013,336,-298,99.06616211
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1325,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1325,1.2759999999999998,1.226,0.661,0.565,3,2,0,72.307,72.307,210.555,88.917,299.472, High,-27.5,99.47900391,0.1140521555691946,2.6564769729881457,290,-344,99.28588867
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_2632,SIGNED_ADD_8x8_8,OvErr_BASE,v2,2632,7,0.948,0.372,0.576,1,2,0,29.536,29.536,175.972,46.618,222.59, High,64,93.97729492,1.021951941069698,1.6026679799734362,335,-175,99.43847656
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1524,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1524,1.2729999999999997,1.259,0.663,0.596,4,2,0,93.153,93.153,247.01,110.363,357.373, High,33.75,87.94384766,-0.238809514,2.032674668440636,340,-274,98.33374023
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1942,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1942,7,0.856,0.371,0.485,1,2,0,29.676,29.676,180.593,49.306,229.899, High,30,111.59921264648438,0.9636081945725445,3.815334809913403,221,-289,99.84436035
